Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
workingAutominerADVDesc,,,,,"Advanced machine to get all kinds of mineral resources. \n\nReduce crafting time and fuel consumption through the 'Advanced Engineering' perk.","Máquina avanzada para obtener todo tipo de recursos minerales. \n\nReduce el tiempo de fabricación y el consumo de combustible mediante la perk 'Ingenieria Avanzada'.",,
foodCookingOilTM,,,,,"Cooking Oil",Botella de Aceite,,
foodCookingOilTMDesc,,,,,"A Cooking Oil Bottle.","Una botella de aceite para cocinar.",,
resourceBowlTM,,,,,"Wooden Bowl","Bol de Madera",,
resourceBowlTMDesc,,,,,"Indispensable bowl for some food recipes.","Bol indispensable para algunas recetas de comida.",,
resourceTallowTM,,,,,"Tallow","Sebo",,
resourceTallowTMDesc,,,,,"From animal fat, necessary in different recipes.","Derivado de la grasa animal, necesario en diferentes recetas.",,
resourceBiomassTMSchematic,,,,,"Biomass Schematic","Esquema de Biomasa",,
resourceBiomassTM,,,,,"Biomass","Biomasa",,
resourceBiomassTMDesc,,,,,"Very powerful vegetable product mix.","Mezcla de producto vegetal muy potente.",,
foodSugarTM,,,,,"Sugar","Azúcar",,
foodSugarTMDesc,,,,,"Sweeten your life with a little sugar, very useful in different recipes.","Endulza tu vida con un poco de azúcar, muy útil en diferentes postres.",,
foodPastaBaseTMSchematic,,,,,"Pasta Schematic","Receta de Pasta",,
foodPastaBaseTM,,,,,"Pasta","Pasta",,
foodPastaBaseTMDesc,,,,,"Pasta is the base for different recipes","Pasta es la base para diferentes recetas.",,
foodPastaMushroomsTMSchematic,,,,,"Pasta with Mushrooms Schematic","Receta Pasta con Setas",,
foodPastaMushroomsTM,,,,,"Pasta with Mushrooms","Pasta con Setas",,
foodPastaMushroomsTMDesc,,,,,"Pasta and Mushrooms, curious combination.","Pasta y Setas, curiosa combinación.",,
foodStewBeefTMSchematic,,,,,"Beef Stew Schematic","Receta de Estofado de Ternera",,
foodStewBeefTM,,,,,"Beef Stew","Estofado de Ternera",,
foodStewBeefTMDesc,,,,,"Rich stew with cans of Beef.","Rico estofado con latas de Ternera.",,
foodStewLambTMSchematic,,,,,"Lamb Stew Schematic","Receta de Estofado de Cordero",,
foodStewLambTM,,,,,"Lamb Stew","Estofado de Cordero",,
foodStewLambTMDesc,,,,,"Rich stew with cans of Lamb.","Rico estofado con latas de Cordero.",,
foodStewChickenTMSchematic,,,,,"Chicken Stew Schematic","Receta de Estofado de Pollo",,
foodStewChickenTM,,,,,"Chicken Stew","Estofado de Pollo",,
foodStewChickenTMDesc,,,,,"Rich stew with cans of Chicken.","Rico estofado con latas de Pollo.",,
foodStewChiliTMSchematic,,,,,"Chili Stew Schematic","Receta de Estofado de Chili",,
foodStewChiliTM,,,,,"Chili Stew","Estofado de Chili",,
foodStewChiliTMDesc,,,,,"Rich stew with cans of Chili.","Rico estofado con latas de Chili.",,
foodStewShamTMSchematic,,,,,"Sham Stew Schematic","Receta de Estofado de Sham",,
foodStewShamTM,,,,,"Sham Stew","Estofado de Sham",,
foodStewShamTMDesc,,,,,"Rich stew with cans of Sham.","Rico estofado con latas de Sham.",,
foodSoupMisoTMSchematic,,,,,"Miso soup Schematic","Receta de Sopa de Miso",,
foodSoupMisoTM,,,,,"miso soup","Sopa de Miso",,
foodSoupMisoTMDesc,,,,,"Rich soup with cans of Miso.","Rica sopa con latas de Miso.",,
foodSoupStockTMSchematic,,,,,"Meat soup Schematic","Receta de Sopa de Carne",,
foodSoupStockTM,,,,,"Meat soup","Sopa de Carne",,
foodSoupStockTMDesc,,,,,"Rich soup with cans of meat.","Rica sopa con latas de Carne.",,
foodSoupChickenTMSchematic,,,,,"Chicken Soup Schematic","Receta de Sopa de Pollo",,
foodSoupChickenTM,,,,,"Chicken Soup","Sopa de Pollo",,
foodSoupChickenTMDesc,,,,,"Rich soup with cans of Chicken.","Rica sopa con latas de Pollo.",,
foodPearsCakeTMSchematic,,,,,"Pear cake Schematic","Receta de Pastel de Peras"
foodPearsCakeTM,,,,,"Pear cake","Pastel de Peras"
foodPearsCakeTMDesc,,,,,"Delicious cake with pears.","Delicioso pastel con Peras.",,
foodPeasHamTMSchematic,,,,,"Peas with Ham Schematic","Receta Guisantes con Jamón",,
foodPeasHamTM,,,,,"Peas with ham","Guisantes con Jamón",,
foodPeasHamTMDesc,,,,,"Peas and Ham combine in a luxurious dish.","Guisantes y Jamón combinan en un plato de lujo.",,
foodSalmonTacoTMSchematic,,,,,"Salmon Tacos Schematic","Receta de Tacos de Salmón",,
foodSalmonTacoTM,,,,,"Salmon Tacos","Tacos de Salmón",,
foodSalmonTacoTMDesc,,,,,"A practical way to eat fish.","Una forma práctica de comer pescado.",,
foodTunaBreadTMSchematic,,,,,"Tuna Snack Schematic","Receta de Bocadillo de Atún",,
foodTunaBreadTM,,,,,"Tuna Snack","Bocadillo de Atún",,
foodTunaBreadTMDesc,,,,,"A snack to regain strength.","Un bocadillo para recuperar fuerzas.",,
foodExtraCatTMSchematic,,,,,"Hunter's Combine Schematic","Receta de Combinado de Cazador",,
foodExtraCatTM,,,,,"Hunter's Combine","Combinado de Cazador",,
foodExtraCatTMDesc,,,,,"Combination to improve Hunter skills.","Combinación para mejorar las habilidades de Cazador.",,
foodExtraDogTMSchematic,,,,,"Combined Force Schematic","Receta de Combinado de Fuerza",,
foodExtraDogTM,,,,,"Combined Force","Combinado de Fuerza",,
foodExtraDogTMDesc,,,,,"Combination to improve Fighter skills.","Combinación para mejorar las habilidades de Luchador.",,
foodPastaYuccaTMSchematic,,,,,"Pasta with Yucca Schematic","Receta de Pasta con Yuca",,
foodPastaYuccaTM,,,,,"Pasta with Yucca","Pasta con Yuca",,
foodPastaYuccaTMDesc,,,,,"Pasta and Yucca, a curious combination.","Pasta y Yuca, curiosa combinación.",,
foodPastaPotatoTMSchematic,,,,,"Pasta with Potatoes Schematic","Receta de Pasta con Patatas",,
foodPastaPotatoTM,,,,,"Pasta with Potatoes","Pasta con Patatas",,
foodPastaPotatoTMDesc,,,,,"Pasta and Potatoes, a curious combination.","Pasta y Patatas, curiosa combinación.",,
foodPastaPumpkinTMSchematic,,,,,"Pasta with Pumpkin Schematic","Receta de Pasta con Calabaza",,
foodPastaPumpkinTM,,,,,"Pasta with Pumpkin","Pasta con Calabaza",,
foodPastaPumpkinTMDesc,,,,,"Pasta and Pumpkin, a curious combination.","Pasta y Calabaza, curiosa combinación.",,
foodSteakPotatoTMSchematic,,,,,"Steak with potatoes Schematic","Receta de Bistec con Patatas",,
foodSteakPotatoTM,,,,,"Steak with potatoes","Bistec con Patatas",,
foodSteakPotatoTMDesc,,,,,"Steak with potatoes of a lifetime, take advantage.","Bistec con patatas de toda la vida, que aproveche.",,
drinkJarYuccaClassicTM,,,,,"Yucca Juice Classic","Zumo de Yuca Clásico",,
drinkJarYuccaClassicTMDesc,,,,,"Yuca juice as rich and moisturizing as always. \nEarn 20% more resources using TongoMod tools. \n\nCan be crafted from the backpack.","Zumo de Yuca tan rico he hidratante como siempre. \nGanas un 20% más recursos utilizando herramientas TongoMod. \n\nSe puede craftear desde la mochila.",,
drinkJarYuccaClassicTMSchematic,,,,,"Yucca Juice Classic Schematics","Esquema de Zumo de Yuca Clásico",,
drinkJarYuccaClassicTMSchematicDesc,,,,,"Unlock Yucca Juice Classic.","Desbloquea el Zumo de Yuca Clásico.",,
foodOmeletTMSchematic,,,,,"Omelet Schematic","Receta de Tortilla",,
foodOmeletTM,,,,,"Omelet","Tortilla",,
foodOmeletTMDesc,,,,,"Some eggs for a rich and nutritious omelette, a staple food wherever you find them.","Unos huevos para una rica y nutritiva tortilla, alimento basico donde los halla.",,
foodOmeletPotatoTMSchematic,,,,,"Potato Omelet Schematic"," Receta de Tortilla de Patatas",,
foodOmeletPotatoTM,,,,,"Potato Omelet","Tortilla de Patatas",,
foodOmeletPotatoTMDesc,,,,,"Also known as (Spanish Tortilla), it is one of the most typical and delicious foods in gastronomy.","Tambien conocida como (Tortilla Española), es uno de los alimentos mas tipicos y ricos de la gastronomia.",,
drinkRomulanBeerTMSchematic,,,,,"Romulan Beer Schematic","Receta de Cerveza Romulana",,
drinkRomulanBeerTM,,,,,"Romulan Beer","Cerveza Romulana",,
drinkRomulanBeerTMDesc,,,,,"A beer that is not from this world, take a sip and it runs like the wind.","Una cerveza que no es de este mundo, pegale un trago y corre como el viento.",,
foodCandy7DaysTMSchematic,,,,,"7 Days Candy Schematic","Receta de Chocolatina de 7 Days",,
foodCandy7DaysTM,,,,,"7 Days Candy","Chocolatina de 7 Days",,
foodCandy7DaysTMDesc,,,,,"A chocolate that nourishes a little, and heals a lot. Who bitters a candy?. \nEarn 30% more resources using TongoMod tools.","Una chocolatina que alimenta un poco, y cura bastante. ¿A quien le amarga un dulce?. \nGanas un 30% más recursos utilizando herramientas TongoMod.",,
vehicleWheelSchematicTM,,,,,"Wheel Schematics","Esquema de Rueda",,
vehicleWheelSchematicTMDesc,,,,,"Unlock the wheels for any vehicle.","Desbloquea las ruedas para cualquier vehículo.",,
medicalAlcoholTMSchematic,,,,,"Medical Alcohol Schematic","Esquema de Alcohol Médico",,
medicalAlcoholTM,,,,,"Medical Alcohol","Alcohol Médico",,
medicalAlcoholTMDesc,,,,,"Alcohol for Medical resources ''don't drink''.","Alcohol para recursos Médicos ''no beber''.",,
resourceBioFuelTMSchematic,,,,,"Bio Fuel Schematic","esquema de Biocombustible",,
resourceBioFuelTM,,,,,"Bio Fuel","Biocombustible",,
resourceBioFuelTMDesc,,,,,"Chemical preparation to use different recipes.","Preparado químico para usar diferentes recetas.",,
modSniperwolfBraceletTMSchematic,,,,,"Sniperwolf Bracelet Schematic","Esquema de Brazalete de Sniperwolf",,
modSniperwolfBraceletTM,,,,,"Sniperwolf Bracelet","Brazalete de Sniperwolf",,
modSniperwolfBraceletTMDesc,,,,,"Increases Better Distance level by 1 point.","Mejora el manejo con armas a distancia.",,
modRagnarBraceletTMSchematic,,,,,"Ragnar Bracelet Schematic","Esquema de Brazalete de Ragnar",,
modRagnarBraceletTM,,,,,"Ragnar Bracelet","Brazalete de Ragnar",,
modRagnarBraceletTMDesc,,,,,"Increases Hand to Hand level by 1 point.","Aumenta la stamina en 20 puntos y desbloquea 2 huecos de inventario.",,
modChopperBraceletTMSchematic,,,,,"Chopper Bracelet Schematic","Esquema de Brazalete de Chopper",,
modChopperBraceletTM,,,,,"Chopper Bracelet","Brazalete de Chopper",,
modChopperBraceletTMDesc,,,,,"Increases Buffs level by 1 point.","Aumenta la salud 10 puntos y tambien el blindaje.",,
modJordanBraceletTMSchematic,,,,,"Jordan Bracelet Schematic","Esquema de Brazalete de Jordan",,
modJordanBraceletTM,,,,,"Jordan Bracelet","Brazalete de Jordan",,
modJordanBraceletTMDesc,,,,,"Increases Parallels level by 1 point.","Mejora la recuperacion de stamina al correr o caminar.",,
modUchihaBraceletTMSchematic,,,,,"Uchiha Bracelet Schematic","Esquema de Brazalete de los Uchiha",,
modUchihaBraceletTM,,,,,"Uchiha Bracelet","Brazalete de los Uchiha",,
modUchihaBraceletTMDesc,,,,,"Increases Intelligence level by 1 point.","Reduce el tiempo de crafteo un 15%.",,
modSilverBraceletTMSchematic,,,,,"Silver Bracelet Schematic","Esquema de Brazalete de Plata",,
modSilverBraceletTM,,,,,"Silver Bracelet","Brazalete de Plata",,
modSilverBraceletTMDesc,,,,,"Increases loot stage by 15 points.","Aumenta la etapa de saqueo en 15 puntos.",,
modGoldBraceletTMSchematic,,,,,"Gold Bracelet Schematic","Esquema de Brazalete de Oro",,
modGoldBraceletTM,,,,,"Gold Bracelet","Brazalete de Oro",,
modGoldBraceletTMDesc,,,,,"Increases loot stage by 30 points.","Aumenta la etapa de saqueo en 30 puntos.",,
modObserverHatTMSchematic,,,,,"Observer Hat Schematic","Esquema de Sombrero del Observador",,
modObserverHatTM,,,,,"Observer Hat","Sombrero del Observador",,
modObserverHatTMDesc,,,,,"Increases loot stage by 15 points.","Aumenta la etapa de saqueo en 15 puntos.",,
modRubyBraceletTMSchematic,,,,,"Ruby Bracelet Schematic","Esquema de Brazalete de Rubí",,
modRubyBraceletTM,,,,,"Ruby Bracelet","Brazalete de Rubi",,
modRubyBraceletTMDesc,,,,,"Increases loot stage by 50 points.","Aumenta la etapa de saqueo en 50 puntos.",,
modSonicShoesTMSchematic,,,,,"Blue Hedgehog Shoes Schematic","Esquema de Zapatillas del Erizo Azul",,
modSonicShoesTM,,,,,"Blue Hedgehog Shoes","Zapatillas del Erizo Azul",,
modSonicShoesTMDesc,,,,,"Increases running speed and reduces stamina consumption by 20%.","Aumenta la velocidad de marcha y reduce el consumo de resistencia corriendo un 20%.",,
modSportBackpackTMSchematic,,,,,"Sport Backpack Schematic","Esquema de Mochila Deportiva",,
modSportBackpackTM,,,,,"Sport Backpack","Mochila Deportiva",,
modSportBackpackTMDesc,,,,,"Great backpack to increase carry capacity in 5 slots.","Buena mochila que aumenta la capacidad de carga en 5 casillas.",,
modMilitaryBackpackTMSchematic,,,,,"Military Backpack Schematic","Esquema de Mochila Militar",,
modMilitaryBackpackTM,,,,,"Military Backpack","Mochila Militar",,
modMilitaryBackpackTMDesc,,,,,"Very big backpack from military, to increase carry capacity in 8 slots.","Gran mochila militar, que aumenta la capacidad de carga en 8 casillas.",,
modMilitaryTacticalBackpackTMSchematic,,,,,"Military Tactical Backpack Schematic","Esquema de Mochila Militar Táctica",,
modMilitaryTacticalBackpackTM,,,,,"Military Tactical Backpack","Mochila Militar Táctica",,
modMilitaryTacticalBackpackTMDesc,,,,,"Awesome backpack for military only. Increase carry capcity in 12 slots.","Impresionante mochila solo para militares. Aumenta la capacidad de carga en 12 casillas.",,
modArmorPlatingGrapheneTMSchematic,,,,,"Plating Graphene Schematic","Esquema de Placas de Grafeno",,
modArmorPlatingGrapheneTM,,,,,"Plating Graphene","Placas de Grafeno",,
modArmorPlatingGrapheneTMDesc,,,,,"Upgrade your armor skills with plating graphene. Increase armor bonus +3.","Mejora las habilidades de tu armadura con las placas de grafeno. Aumenta el índice de armadura +3.",,
meleeWpnSpikedClub,,,,,"Spiked Club","Lucero del Alba",,
meleeWpnSpikedClubDesc,,,,,"A badass club with sharp spikes. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Un palo con clavos afilados, si no te mata el golpe, seguro que lo hace la infección de sus oxidadas púas. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeWpnSpikedClubSchematic,,,,,"Spiked Club Schematic","Esquema de Lucero del Alba",,
meleeWpnSpikedClubSchematicDesc,,,,,"Unlocked Spiked Club Schematic","Desbloquea el Esquema de Lucero del Alba",,
meleeWpnGrapheneSledgehammerTM,,,,,"Graphene Sledgehammer","Mazo de Grafeno",,
meleeWpnGrapheneSledgehammerTMDesc,,,,,"The most powerful melee weapon, look, watch your resistance, everything has a price... \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","El arma a melee mas poderosa, eso si, vigila tu resistencia, todo tiene un precio... \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeWpnGrapheneSledgehammerTMSchematic,,,,,"Graphene Sledgehammer Schematic","Esquema de Mazo de Grafeno",,
meleeWpnGrapheneSledgehammerTMSchematicDesc,,,,,"Unlocked Graphene Sledgehammer Schematic","Desbloquea el Esquema de Mazo de Grapheno",,
explosivesSchematicTM,,,,,"Explosives Schematic","Esquema de Explosivos",,
drugsSchematicTM,,,,,"Drugs Schematic","Esquema de Drogas",,
batterySchematicTM,,,,,"Battery Schematic","Esquema de Bateria",,
ammoGasCanBundleSchematicTM,,,,,"Gas Can Stack Schematic","Esquema de stack de Gasolina",,
resourceGunPowderBundleSchematicTM,,,,,"Gun Power Stack Schematic","Esquema de stack de Pólvora",,
explosivesSchematicTMDesc,,,,,"Unlocked explosive types: Air Filter Land Mine, Cooking Pot Mine, Hubcap LandMine, Pressure Plate Mine.","Desbloquea varios explosivos: Mina de olla, Mina de placa de presión, Mina terrestre de tapacubos, Mina terrestre de filtro de aire.",,
drugsSchematicTMDesc,,,,,"Unlocked Drugs types: Fort Bites, Recog, Steroids.","Desbloquea varias drogas: Bocados de Fortaleza, Esteroides, Reconocimiento.",,
batterySchematicTMDesc,,,,,"Unlocked Car Battery","Desbloquea la batería de coche.",,
ammoGasCanBundleSchematicTMDesc,,,,,"Unlocked Stack Gas Can.","Desbloquea el stack para bidones de gasolina.",,
resourceGunPowderBundleSchematicTMDesc,,,,,"Unlocked Stack of Gunpowder","Desbloquea el stack para pila de pólvora.",,
ammoBox9mmBulletTM,,,,,"9 mm Bullet Resources","Componentes de Bala 9 mm",,
ammoBox9mmBulletHPTM,,,,,"9 mm HP Bullet Resources","Componentes de Bala 9 mm HP",,
ammoBox9mmBulletAPTM,,,,,"9 mm AP Bullet Resources","Componentes de Bala 9 mm AP",,
ammoBoxShotgunShellTM,,,,,"Shotgun Shell Resources","Componentes de Cartuchos",,
ammoBoxShotgunBreachingSlugTM,,,,,"Shotgun Breaching Slug Resources","Componentes de Cartuchos Rompedores",,
ammoBoxShotgunSlugTM,,,,,"Shotgun Slug Resources","Componentes de Cartuchos Slug",,
ammoBox762mmBulletBallTM,,,,,"7.62 mm Bullet Resources","Componentes de Bala 7.62 mm",,
ammoBox762mmBulletHPTM,,,,,"7.62 mm HP Bullet Resources","Componentes de Bala 7.62 mm HP",,
ammoBox762mmBulletAPTM,,,,,"7.62 mm AP Bullet Resources","Componentes de Bala 7.62 mm AP",,
ammoBox44MagnumBulletBallTM,,,,,"9 mm Bullet Resources","Componentes de Bala .44 mm",,
ammoBox44MagnumBulletHPTM,,,,,"9 mm HP Bullet Resources","Componentes de Bala .44 mm HP",,
ammoBox44MagnumBulletAPTM,,,,,"9 mm AP Bullet Resources","Componentes de Bala .44 mm AP",,
ammoBoxArrowStoneTM,,,,,"Stone Arrow Resources","Componentes de Flecha de Piedra",,
ammoBoxArrowIronTM,,,,,"Iron Arrow Resources","Componentes de Flecha de Hierro",,
ammoBoxArrowSteelAPTM,,,,,"Steel Arrow Resources","Componentes de Flecha de Acero",,
ammoBoxCrossbowBoltStoneTM,,,,,"Stone Bolt Resources","Componentes de Virote de Piedra",,
ammoBoxCrossbowBoltIronTM,,,,,"Iron Bolt Resources","Componentes de Virote de Hierro",,
ammoBoxCrossbowBoltSteelAPTM,,,,,"Steel Bolt Resources","Componentes de Virote de Acero",,
ammoBoxArrowFlamingTM,,,,,"Flame Arrow Resources","Componentes de Flecha Incendiaria",,
ammoBoxArrowExplodingTM,,,,,"Explosive Arrow Resources","Componentes de Flecha Explosiva",,
ammoBoxCrossbowBoltFlamingTM,,,,,"Flame Bolt Resources","Componentes de Virote Incendiario",,
ammoBoxCrossbowBoltExplodingTM,,,,,"Explosive Bolt Resources","Componentes de Virote Explosivo",,
ammoBoxRocketFragTM,,,,,"Rocket Resources","Componentes de Copete",,
ammoBoxRocketHETM,,,,,"Rocket HE Resources","Componentes de Copete HE",,
thrownBoxAmmoPipeBombTM,,,,,"Pipe Bomb Resources","Componentes de de Bomba de Tubo",,
thrownBoxDynamiteTM,,,,,"Dynamite Resources","Componentes de Dinamita",,
thrownBoxGrenadeTM,,,,,"Grenade Resources","Componentes de Granada",,
thrownBoxGrenadeContactTM,,,,,"Contact Grenade Resources","Componentes de Granada de Contacto",,
thrownBoxTimedChargeTM,,,,,"Time Charge Resources","Componentes de Carga con Temporizador",,
ammoBox9mmBulletExtTM,,,,,"9 mm Bullet Resources X 100","Componentes de Bala 9 mm X 100",,
ammoBox9mmBulletHPExtTM,,,,,"9 mm HP Bullet Resources X 100","Componentes de Bala 9 mm HP X 100",,
ammoBox9mmBulletAPExtTM,,,,,"9 mm AP Bullet Resources X 100","Componentes de Bala 9 mm AP X 100",,
ammoBoxShotgunShellExtTM,,,,,"Shotgun Shell Resources X 100","Componentes de Cartuchos X 100",,
ammoBoxShotgunBreachingSlugExtTM,,,,,"Shotgun Breaching Slug Resources X 100","Componentes de Cartuchos Rompedores X 100",,
ammoBoxShotgunSlugExtTM,,,,,"Shotgun Slug Resources X 100","Componentes de Cartuchos Slug X 100",,
ammoBox762mmBulletBallExtTM,,,,,"7.62 mm Bullet Resources X 100","Componentes de Bala 7.62 mm X 100",,
ammoBox762mmBulletHPExtTM,,,,,"7.62 mm HP Bullet Resources X 100","Componentes de Bala 7.62 mm HP X 100",,
ammoBox762mmBulletAPExtTM,,,,,"7.62 mm AP Bullet Resources X 100","Componentes de Bala 7.62 mm AP X 100",,
ammoBox44MagnumBulletBallExtTM,,,,,"9 mm Bullet Resources X 100","Componentes de Bala .44 mm X 100",,
ammoBox44MagnumBulletHPExtTM,,,,,"9 mm HP Bullet Resources X 100","Componentes de Bala .44 mm HP X 100",,
ammoBox44MagnumBulletAPExtTM,,,,,"9 mm AP Bullet Resources X 100","Componentes de Bala .44 mm AP X 100",,
ammoBoxArrowStoneExtTM,,,,,"Stone Arrow Resources X 100","Componentes de Flecha de Piedra X 100",,
ammoBoxArrowIronExtTM,,,,,"Iron Arrow Resources X 100","Componentes de Flecha de Hierro X 100",,
ammoBoxArrowSteelAPExtTM,,,,,"Steel Arrow Resources X 100","Componentes de Flecha de Acero X 100",,
ammoBoxCrossbowBoltStoneExtTM,,,,,"Stone Bolt Resources X 100","Componentes de Virote de Piedra X 100",,
ammoBoxCrossbowBoltIronExtTM,,,,,"Iron Bolt Resources X 100","Componentes de Virote de Hierro X 100",,
ammoBoxCrossbowBoltSteelAPExtTM,,,,,"Steel Bolt Resources X 100","Componentes de Virote de Acero X 100",,
ammoBoxArrowFlamingExtTM,,,,,"Flame Arrow Resources X 100","Componentes de Flecha Incendiaria X 100",,
ammoBoxArrowExplodingExtTM,,,,,"Explosive Arrow Resources X 100","Componentes de Flecha Explosiva X 100",,
ammoBoxCrossbowBoltFlamingExtTM,,,,,"Flame Bolt Resources X 100","Componentes de Virote Incendiario X 100",,
ammoBoxCrossbowBoltExplodingExtTM,,,,,"Explosive Bolt Resources X 100","Componentes de Virote Explosivo X 100",,
ammoBoxRocketFragExtTM,,,,,"Rocket Resources X 100","Componentes de Copete X 100",,
ammoBoxRocketHEExtTM,,,,,"Rocket HE Resources X 100","Componentes de Copete HE X 100",,
thrownBoxAmmoPipeBombExtTM,,,,,"Pipe Bomb Resources X 100","Componentes de de Bomba de Tubo X 100",,
thrownBoxDynamiteExtTM,,,,,"Dynamite Resources X 100","Componentes de Dinamita X 100",,
thrownBoxGrenadeExtTM,,,,,"Grenade Resources X 100","Componentes de Granada X 100",,
thrownBoxGrenadeContactExtTM,,,,,"Contact Grenade Resources X 100","Componentes de Granada de Contacto X 100",,
thrownBoxTimedChargeExtTM,,,,,"Time Charge Resources X 100","Componentes de Carga con Temporizador X 100",,
ammoBoxBaseDesc,,,,,"This box contains all resources to craft indicated ammunation.","Esta caja contiene todos los materiales para fabricar la munición indicada.",,
lblHerramientasDysmantle,,,,,"Tools Crafting","Crafteo de herramientas",,
lblArmasDysmantle,,,,,"Weapons Crafting","Crafteo de Armas",,
lblArmadurasDysmantle,,,,,"Armor Crafting","Crafteo de Armaduras",,
lblMuniDysmantle,,,,,"Ammo & Ammo Boxs","Munición y Cajas de Munición",,
lblPartsDysmantle,,,,,"Parts Crafting","Crafteo de Partes",,
lblModdetDysmantle,,,,,"Mods Crafting","Crafteo de Mods",,
